gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
SIX5,MEP,0.099798,1,1,other,0.1663,0.0,127
SUZ12,MEP,0.093706,1,1,tf,0.1201,0.0,128
ZBTB33,MEP,0.092512,1,1,other,0.1542,0.0,129
IRF3,MEP,0.090686,1,1,tf,0.1163,0.0,130
SMARCC1,MEP,0.085191,1,1,other,0.142,0.0,131
SMARCA4,MEP,0.080969,1,1,other,0.1349,0.0,132
CTBP2,MEP,0.077965,1,1,other,0.1299,0.0,133
NR2C2,MEP,0.072436,1,1,other,0.1207,0.0,134
POLR3A,MEP,0.072258,1,1,other,0.1204,0.0,135
BRF2,MEP,0.069838,1,1,other,0.1164,0.0,136
SP2,MEP,0.069063,1,1,other,0.1151,0.0,137
THAP1,MEP,0.062919,1,1,other,0.1049,0.0,138
SMARCC2,MEP,0.062147,1,1,other,0.1036,0.0,139
HBA2,MEP,0.054737,1,1,hemoglobin,0.0,0.3041,140
HBB,MEP,0.047585,1,1,hemoglobin,0.0,0.2644,141
RDBP,MEP,0.040943,1,1,other,0.0682,0.0,142
ZZZ3,MEP,0.037404,1,1,other,0.0623,0.0,143
SREBF1,MEP,0.035583,1,1,other,0.0593,0.0,144
WHIP,MEP,0.032059,1,1,other,0.0534,0.0,145
IGKC,MEP,0.03091,1,1,immunoglobulin,0.0,0.1405,146
HBA1,MEP,0.024119,1,1,hemoglobin,0.0,0.134,147
ZNF274,MEP,0.021438,1,1,other,0.0357,0.0,148
NR3C1,MEP,0.019616,1,1,tf,0.0251,0.0,149
PPARGC1A,MEP,0.015089,1,1,other,0.0251,0.0,150
ESRRA,MEP,0.014814,1,1,other,0.0247,0.0,151
KAT2A,MEP,0.01408,1,1,other,0.0235,0.0,152
HDAC8,MEP,0.012898,2,1,other,0.0209,0.0009,153
HSF1,MEP,0.0128,1,1,other,0.0213,0.0,154
FAM48A,MEP,0.010383,1,1,other,0.0173,0.0,155
AHSP,MEP,0.009721,1,1,other,0.0,0.0243,156
ATP5MG,MEP,0.008342,1,1,other,0.0,0.0209,157
FOXP1,MEP,0.00834,1,1,other,0.0,0.0209,158
ATP5IF1,MEP,0.008284,1,1,other,0.0,0.0207,159
SMYD3,MEP,0.008248,1,1,other,0.0,0.0206,160
SELENOH,MEP,0.008246,1,1,other,0.0,0.0206,161
ZEB2,MEP,0.008171,1,1,tf,0.0,0.0157,162
LRBA,MEP,0.00806,1,1,other,0.0,0.0201,163
NR4A1,MEP,0.008053,1,1,other,0.0134,0.0,164
ATP5F1D,MEP,0.007623,1,1,other,0.0,0.0191,165
MBNL1,MEP,0.007619,1,1,other,0.0,0.019,166
CUX1,MEP,0.007582,1,1,tf,0.0,0.0146,167
MED13L,MEP,0.007535,1,1,other,0.0,0.0188,168
ARID1B,MEP,0.007518,1,1,other,0.0,0.0188,169
CHST11,MEP,0.00751,1,1,other,0.0,0.0188,170
SOS1,MEP,0.007487,1,1,other,0.0,0.0187,171
IGHA1,MEP,0.007406,1,1,immunoglobulin,0.0,0.0337,172
DUT,MEP,0.007097,1,1,other,0.0,0.0177,173
RP11-1143G9.4,MEP,0.006937,1,1,other,0.0,0.0173,174
TBC1D5,MEP,0.00685,1,1,other,0.0,0.0171,175
ATP5F1A,MEP,0.006801,1,1,other,0.0,0.017,176
SERPINB1,MEP,0.006551,1,1,other,0.0,0.0164,177
PCLAF,MEP,0.006514,1,1,other,0.0,0.0163,178
ATP5MF,MEP,0.006394,1,1,other,0.0,0.016,179
ELOB,MEP,0.006359,1,1,other,0.0,0.0159,180
WWOX,MEP,0.006351,1,1,other,0.0,0.0159,181
ZBTB20,MEP,0.00631,1,1,other,0.0,0.0158,182
HMGB1,MEP,0.006078,1,1,other,0.0,0.0152,183
