gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
FOSL1,Eryp,0.26047,1,2,tf,0.3339,0.0,79
SMARCB1,Eryp,0.259263,1,2,other,0.4321,0.0,80
GTF2B,Eryp,0.255225,1,2,other,0.4254,0.0,81
BCLAF1,Eryp,0.249191,1,2,other,0.4153,0.0,82
NFYA,Eryp,0.239919,1,2,other,0.3999,0.0,83
TFAP2A,Eryp,0.223437,1,2,other,0.3724,0.0,84
NRF1,Eryp,0.221317,1,2,other,0.3689,0.0,85
NANOG,Eryp,0.21569,1,2,other,0.3595,0.0,86
BRCA1,Eryp,0.189459,1,2,other,0.3158,0.0,87
S100A6,Eryp,0.1851,1,2,other,0.0,0.4627,88
STAT2,Eryp,0.183926,1,2,tf,0.2358,0.0,89
HBA2,Eryp,0.18,1,2,hemoglobin,0.0,1.0,90
HSP90AA1,Eryp,0.169094,1,2,other,0.0,0.4227,91
HBA1,Eryp,0.165042,1,2,hemoglobin,0.0,0.9169,92
ATF3,Eryp,0.156065,1,2,other,0.2601,0.0,93
PRDM1,Eryp,0.154219,1,2,tf,0.1977,0.0,94
IFI27,Eryp,0.153894,1,2,other,0.0,0.3847,95
SP2,Eryp,0.153856,1,2,other,0.2564,0.0,96
SIX5,Eryp,0.152741,1,2,other,0.2546,0.0,97
HSP90AB1,Eryp,0.151948,1,2,other,0.0,0.3799,98
NFE2,Eryp,0.148652,1,2,tf,0.1906,0.0,99
ZBTB33,Eryp,0.1457,1,2,other,0.2428,0.0,100
ELK4,Eryp,0.142374,1,2,other,0.2373,0.0,101
RACK1,Eryp,0.134819,1,2,other,0.0,0.337,102
HSPD1,Eryp,0.128102,1,2,other,0.0,0.3203,103
IRF3,Eryp,0.126623,1,2,tf,0.1623,0.0,104
HBG2,Eryp,0.124957,1,2,hemoglobin,0.0,0.6942,105
NR2C2,Eryp,0.119352,1,2,other,0.1989,0.0,106
EEF1G,Eryp,0.115218,1,2,other,0.0,0.288,107
MT2A,Eryp,0.113705,1,2,other,0.0,0.2843,108
BHLHE40,Eryp,0.110219,1,2,other,0.1837,0.0,109
SNHG29,Eryp,0.101713,1,2,other,0.0,0.2543,110
THAP1,Eryp,0.098281,1,2,other,0.1638,0.0,111
SIRT6,Eryp,0.098218,1,2,other,0.1637,0.0,112
RDBP,Eryp,0.097402,1,2,other,0.1623,0.0,113
RUNX1,Eryp,0.096489,1,2,tf,0.0,0.1856,114
H2AFZ,Eryp,0.093615,1,2,other,0.0,0.234,115
STMN1,Eryp,0.093454,1,2,other,0.0,0.2336,116
